Order ID,number of colors,Type of printing,laminate,glue killer,paper width,sending
1,5,convex intermittent,1,0,265,150
2,4,convex intermittent,0,0,260,189
3,4,convex intermittent,0,0,215,173
4,4,convex intermittent,0,0,180,146
5,1,convex intermittent,0,0,50,56
6,1,convex intermittent,0,0,50,52
7,1,convex intermittent,0,0,120,90
8,4,convex intermittent,0,0,170,144
9,4,convex intermittent,0,0,170,144
10,4,convex intermittent,0,0,105,153
11,1,convex intermittent,0,0,180,86
12,2,convex intermittent,0,0,125,100
13,2,convex intermittent,0,0,190,156
14,2,convex intermittent,0,0,115,84
15,1,convex intermittent,0,0,65,110
16,1,convex intermittent,0,0,55,86
17,1,convex intermittent,0,0,95,43
18,1,convex intermittent,1,0,85,156
19,2,convex intermittent,1,0,60,144
20,3,convex intermittent,0,0,135,126
21,1,convex intermittent,1,0,135,98
22,2,convex intermittent,0,0,70,86
23,3,convex intermittent,0,0,110,84
24,1,convex intermittent,1,0,140,86
25,4,convex intermittent,0,0,80,146
26,3,convex intermittent,0,0,145,233
27,3,convex intermittent,0,0,250,113
28,2,convex intermittent,0,0,210,183
29,4,convex intermittent,0,0,315,146
30,4,intermittent off,0,0,150,203
